aX,aY,aZ,gX,gY,gZ
0.274,0.679,-0.216,-0.549,-82.825,-23.743
0.281,0.691,-0.203,-7.324,-72.205,-26.550
0.226,0.672,-0.188,-11.536,-59.021,-26.733
0.112,0.594,-0.202,-13.184,-45.105,-28.076
0.030,0.476,-0.223,-15.442,-34.363,-34.241
-0.036,0.364,-0.219,-19.104,-31.616,-45.593
-0.057,0.272,-0.195,-20.020,-39.490,-59.021
-0.099,0.204,-0.138,-16.113,-55.969,-71.838
-0.153,0.117,-0.014,-6.714,-75.867,-82.886
-0.148,-0.024,0.192,4.211,-91.675,-93.933
-0.057,-0.107,0.400,13.062,-99.609,-107.483
0.056,-0.149,0.632,20.264,-90.942,-117.371
0.167,-0.111,0.836,24.475,-62.195,-123.596
0.226,-0.160,0.930,22.034,-25.818,-131.104
-0.286,-1.736,1.233,5.127,-15.564,184.204
-0.317,-1.847,1.378,38.574,-54.688,194.946
-0.381,-1.846,1.544,77.576,-99.060,187.134
-0.245,-1.832,1.791,115.051,-142.456,157.043
0.192,-1.841,2.234,141.296,-188.110,107.300
0.820,-1.760,2.762,169.006,-229.309,50.049
1.376,-1.858,3.097,213.013,-259.827,-3.479
2.027,-1.887,3.423,242.737,-245.117,-50.293
2.654,-1.794,3.325,226.685,-210.937,-75.745
2.694,-1.624,3.224,161.011,-145.813,-69.885
2.169,-1.417,2.949,62.805,-51.086,-33.813
1.441,-1.299,2.495,-27.405,57.068,9.827
0.828,-1.260,2.016,-81.421,147.705,40.771
0.331,-1.321,1.611,-94.543,197.815,54.993
0.038,-1.389,1.276,-80.261,210.144,55.786
-0.110,-1.452,1.106,-60.547,197.021,53.406
-0.197,-1.434,1.028,-51.392,169.739,52.429
-0.244,-1.362,1.006,-56.030,136.230,54.810
-0.308,-1.237,0.957,-65.552,96.863,62.256
-0.320,-1.138,0.883,-68.237,54.260,71.960
-0.306,-1.083,0.839,-62.561,10.498,75.500
-0.260,-1.105,0.936,-49.561,-26.306,65.735
-0.091,-1.098,1.059,-36.560,-40.588,45.288
0.142,-1.045,1.163,-27.161,-28.442,24.536
0.346,-1.020,1.248,-17.700,2.747,12.451
0.466,-0.959,1.268,-7.446,46.753,10.559
0.444,-0.864,1.256,4.333,95.520,11.108
0.371,-0.802,1.218,16.479,139.832,5.005
0.325,-0.780,1.144,21.057,177.856,-7.935
0.345,-0.749,1.055,12.451,202.698,-24.719
0.435,-0.677,0.938,-3.540,208.557,-40.955
0.547,-0.618,0.825,-16.357,195.312,-47.363
0.618,-0.600,0.727,-18.860,170.776,-41.138
0.643,-0.633,0.654,-12.939,142.761,-27.771
0.659,-0.642,0.582,-3.601,116.943,-13.306
0.667,-0.660,0.563,5.676,92.102,-5.310
0.740,-0.701,0.536,13.245,64.514,-4.395
0.847,-0.687,0.507,16.479,36.255,-5.371
0.929,-0.647,0.464,15.137,8.789,-4.089
0.948,-0.579,0.423,14.465,-15.259,0.366
0.946,-0.488,0.381,17.883,-30.823,9.644
0.882,-0.416,0.363,24.231,-37.415,20.203
0.836,-0.329,0.332,27.588,-36.255,29.541
0.781,-0.249,0.316,23.926,-31.738,32.104
0.741,-0.160,0.237,14.832,-32.959,26.306
0.686,-0.042,0.152,4.333,-32.715,12.390
0.640,0.018,0.062,-0.854,-29.968,-3.845
0.600,0.120,-0.028,-1.282,-27.527,-17.395
0.557,0.190,-0.134,3.113,-26.245,-26.794
0.521,0.270,-0.201,9.460,-22.644,-29.724
0.373,0.370,-0.289,16.785,-17.822,-27.649
0.271,0.473,-0.313,25.085,-7.141,-23.193
0.168,0.615,-0.392,31.006,0.793,-23.071
0.052,0.728,-0.408,39.978,9.644,-27.710
-0.047,0.849,-0.430,48.218,14.465,-41.382
-0.115,0.935,-0.527,57.007,19.470,-58.655
-0.140,0.981,-0.600,61.584,24.231,-75.195
-0.121,1.005,-0.624,58.472,22.278,-86.670
-0.067,1.026,-0.599,49.805,11.902,-91.248
-0.036,1.059,-0.583,35.095,-6.897,-89.417
-0.008,1.103,-0.542,18.066,-31.067,-82.886
-0.013,1.138,-0.472,2.991,-55.847,-74.951
-0.050,1.160,-0.394,-8.179,-74.036,-71.716
-0.091,1.108,-0.352,-15.808,-85.754,-76.904
-0.090,1.014,-0.316,-20.569,-92.896,-89.233
-0.092,0.897,-0.292,-23.682,-96.802,-104.553
-0.077,0.757,-0.295,-25.574,-99.731,-118.774
-0.051,0.609,-0.297,-27.527,-103.394,-128.967
-0.042,0.485,-0.269,-29.663,-107.849,-134.216
-0.050,0.375,-0.240,-31.128,-114.197,-135.437
-0.070,0.279,-0.173,-32.104,-121.643,-132.507
-0.080,0.189,-0.049,-32.227,-125.183,-126.892
-0.152,0.059,0.107,-29.114,-121.155,-119.202
-0.213,-0.108,0.268,-25.330,-110.596,-112.061
