aX,aY,aZ,gX,gY,gZ
0.218,2.847,-0.503,-93.689,-135.925,-62.500
0.441,2.746,-0.498,-92.346,-144.043,-97.046
0.628,2.650,-0.466,-69.702,-126.160,-113.464
0.846,2.563,-0.444,-35.645,-94.482,-113.037
0.966,2.478,-0.412,-3.723,-62.744,-101.135
0.990,2.389,-0.423,18.799,-35.217,-82.581
1.091,2.313,-0.379,29.358,-13.672,-64.087
1.016,2.217,-0.344,31.067,-4.761,-43.762
1.002,2.104,-0.336,28.015,1.709,-17.151
0.989,2.005,-0.364,19.226,2.563,8.545
0.956,1.922,-0.381,2.441,0.854,33.203
0.889,1.855,-0.381,-16.724,4.456,60.913
0.749,1.803,-0.388,-32.776,18.127,87.585
0.590,1.754,-0.430,-46.021,40.039,107.788
0.445,1.736,-0.521,-63.110,60.486,124.390
0.250,1.758,-0.632,-84.412,71.228,139.038
0.054,1.791,-0.738,-104.736,72.388,148.437
-0.267,1.824,-0.931,-127.991,53.162,135.376
-0.385,1.837,-1.021,-126.343,40.771,112.366
-0.456,1.812,-1.098,-112.610,29.419,80.383
-0.465,1.741,-1.145,-88.318,18.921,41.992
-0.461,1.614,-1.143,-54.749,10.315,0.488
-0.473,1.426,-1.090,-16.418,4.150,-39.612
-0.485,1.203,-1.010,19.104,-0.305,-74.768
-0.462,0.960,-0.910,48.401,-7.874,-103.638
-0.448,0.727,-0.847,72.327,-25.818,-126.160
-0.449,0.504,-0.711,93.201,-47.913,-135.315
-0.374,0.333,-0.564,108.459,-72.998,-136.292
-0.283,0.241,-0.406,117.981,-93.201,-134.338
-0.278,0.069,-0.221,123.840,-104.553,-130.432
-0.207,0.022,-0.111,123.779,-107.422,-126.038
-0.214,-0.121,-0.012,116.760,-101.013,-114.868
-0.223,-0.265,0.054,103.577,-90.088,-107.239
-0.235,-0.446,0.075,89.478,-83.557,-99.548
-0.278,-0.612,0.104,74.463,-83.130,-90.515
-0.358,-0.773,0.174,63.049,-88.745,-81.177
-0.450,-0.967,0.233,60.364,-98.450,-75.684
-0.529,-1.236,0.348,67.261,-108.826,-76.416
-0.327,-1.434,0.472,79.163,-114.258,-78.125
-0.090,-1.428,0.688,93.018,-108.643,-76.233
0.052,-1.311,0.846,102.539,-92.957,-64.331
0.126,-1.182,0.935,111.267,-63.232,-49.805
0.217,-1.023,0.963,114.502,-22.400,-40.344
0.271,-0.845,0.920,109.497,23.499,-32.410
0.347,-0.704,0.922,98.755,63.477,-24.597
0.398,-0.606,0.887,85.938,92.896,-15.808
0.373,-0.539,0.888,70.496,114.075,-6.836
0.316,-0.505,0.839,51.331,127.686,2.686
0.237,-0.504,0.791,28.015,133.179,13.977
0.164,-0.544,0.678,3.723,126.648,25.146
0.116,-0.583,0.574,-18.311,110.229,35.706
0.053,-0.651,0.430,-34.119,86.975,45.044
-0.012,-0.694,0.345,-41.504,65.002,53.711
-0.045,-0.669,0.302,-43.335,48.767,63.293
-0.079,-0.588,0.263,-41.260,35.583,73.792
-0.133,-0.490,0.231,-36.560,27.039,86.182
-0.169,-0.360,0.187,-31.189,24.292,97.961
-0.190,-0.198,0.146,-26.917,28.076,107.056
