aX,aY,aZ,gX,gY,gZ
1.562,-2.742,-3.984,59.937,-25.146,-97.778
1.058,-2.713,-3.086,74.524,-62.439,-44.373
0.491,-2.448,-2.193,73.669,-85.266,16.541
-0.183,-1.387,-2.613,-117.798,120.605,-178.345
1.268,-1.919,-4.000,-96.558,117.676,-186.340
1.732,-2.225,-4.000,-37.231,82.153,-171.082
1.834,-2.557,-4.000,20.447,25.818,-139.648
1.562,-2.742,-3.984,59.937,-25.146,-97.778
1.058,-2.713,-3.086,74.524,-62.439,-44.373
0.491,-2.448,-2.193,73.669,-85.266,16.541
0.041,-2.032,-1.432,62.927,-89.661,72.083
-0.248,-1.595,-0.975,45.959,-79.041,112.915
-0.399,-1.178,-0.700,29.602,-66.589,129.944
-0.406,-0.860,-0.475,16.724,-59.265,120.605
-0.350,-0.701,-0.207,9.460,-53.040,97.778
-0.227,-0.600,0.054,5.493,-44.189,73.364
-0.085,-0.565,0.321,3.723,-35.278,47.852
0.087,-0.604,0.619,5.005,-28.992,22.095
0.251,-0.727,0.911,7.141,-22.705,0.427
0.432,-0.839,1.157,7.690,-14.343,-14.587
0.601,-0.977,1.363,8.118,-3.540,-22.461
0.762,-1.080,1.543,6.348,9.644,-20.081
0.947,-1.082,1.652,-0.854,25.085,-10.864
1.088,-1.033,1.648,-9.399,32.166,-0.977
1.228,-0.888,1.672,-15.991,25.146,10.315
1.300,-0.756,1.690,-22.583,12.756,20.813
1.353,-0.651,1.744,-26.428,2.197,25.635
1.283,-0.513,1.808,-29.724,-4.333,24.963
1.267,-0.354,1.801,-36.987,-12.512,16.785
1.251,-0.280,1.764,-45.776,-25.574,4.211
1.147,-0.235,1.710,-49.927,-45.227,-1.587
0.986,-0.197,1.725,-47.180,-72.693,4.700
0.745,-0.151,1.804,-35.950,-101.379,22.583
0.445,-0.111,1.902,-15.198,-124.512,47.058
0.111,-0.097,2.014,11.475,-139.709,71.411
-0.198,-0.094,2.196,40.527,-143.982,89.844
-0.480,-0.128,2.365,64.209,-138.672,98.206
-0.758,-0.115,2.529,78.674,-107.239,90.759
-0.862,-0.154,2.614,87.036,-63.721,77.942
-0.895,-0.216,2.661,88.318,-29.114,66.589
-0.879,-0.263,2.496,80.200,5.005,47.974
-0.840,-0.343,2.099,64.941,41.748,25.696
